time,I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.0,-0.045,-0.05,-0.005,0.048,-0.02,-0.027,-0.08,-0.165,-0.105,-0.395,-0.21,0.01
0.002,-0.045,-0.05,-0.005,0.048,-0.02,-0.027,-0.08,-0.165,-0.105,-0.395,-0.21,0.01
0.004,-0.045,-0.05,-0.005,0.048,-0.02,-0.027,-0.08,-0.165,-0.105,-0.395,-0.21,0.01
0.006,-0.045,-0.05,-0.005,0.048,-0.02,-0.027,-0.08,-0.165,-0.105,-0.395,-0.21,0.01
0.008,-0.045,-0.05,-0.005,0.048,-0.02,-0.027,-0.08,-0.164,-0.105,-0.395,-0.21,0.01
0.01,-0.045,-0.05,-0.005,0.048,-0.02,-0.027,-0.08,-0.165,-0.105,-0.395,-0.21,0.01
0.012,-0.045,-0.05,-0.005,0.048,-0.02,-0.027,-0.076,-0.177,-0.105,-0.395,-0.21,0.014
0.014,-0.044,-0.05,-0.006,0.048,-0.019,-0.027,-0.074,-0.186,-0.105,-0.395,-0.21,0.016
0.016,-0.047,-0.05,-0.003,0.049,-0.022,-0.026,-0.076,-0.194,-0.105,-0.395,-0.21,0.013
0.018,-0.05,-0.05,0.0,0.05,-0.025,-0.025,-0.074,-0.201,-0.105,-0.394,-0.21,0.01
0.02,-0.05,-0.05,0.0,0.05,-0.025,-0.025,-0.07,-0.205,-0.105,-0.39,-0.21,0.01
0.022,-0.05,-0.05,0.0,0.05,-0.025,-0.025,-0.07,-0.209,-0.105,-0.39,-0.21,0.01
0.024,-0.05,-0.05,0.0,0.05,-0.025,-0.025,-0.071,-0.214,-0.105,-0.39,-0.21,0.007
0.026,-0.05,-0.05,0.0,0.05,-0.025,-0.025,-0.068,-0.215,-0.105,-0.39,-0.21,0.005
0.028,-0.05,-0.05,0.0,0.05,-0.025,-0.025,-0.065,-0.216,-0.105,-0.39,-0.21,0.005
0.03,-0.05,-0.05,0.0,0.05,-0.025,-0.025,-0.065,-0.22,-0.105,-0.39,-0.21,0.005
0.032,-0.054,-0.05,0.004,0.052,-0.029,-0.022,-0.065,-0.219,-0.105,-0.39,-0.21,0.005
0.034,-0.055,-0.05,0.005,0.052,-0.03,-0.022,-0.062,-0.226,-0.105,-0.391,-0.21,0.002
0.036,-0.055,-0.05,0.005,0.052,-0.03,-0.022,-0.059,-0.233,-0.105,-0.388,-0.21,-0.001
0.038,-0.055,-0.05,0.005,0.052,-0.03,-0.022,-0.06,-0.235,-0.105,-0.385,-0.21,0.0
0.04,-0.055,-0.05,0.005,0.052,-0.03,-0.022,-0.06,-0.235,-0.105,-0.385,-0.21,0.0
