time,I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.0,-0.03,-0.03,0.0,0.03,-0.015,-0.015,-0.025,-0.045,0.025,-0.04,-0.04,-0.045
0.002,-0.03,-0.03,0.0,0.03,-0.015,-0.015,-0.025,-0.045,0.025,-0.04,-0.04,-0.045
0.004,-0.03,-0.03,0.0,0.03,-0.015,-0.015,-0.025,-0.045,0.025,-0.04,-0.04,-0.045
0.006,-0.03,-0.03,0.0,0.03,-0.015,-0.015,-0.025,-0.045,0.025,-0.04,-0.04,-0.045
0.008,-0.03,-0.03,0.0,0.03,-0.015,-0.015,-0.025,-0.045,0.025,-0.04,-0.04,-0.045
0.01,-0.03,-0.03,0.0,0.03,-0.015,-0.015,-0.025,-0.045,0.025,-0.04,-0.04,-0.045
0.012,-0.03,-0.026,0.004,0.027,-0.017,-0.011,-0.017,-0.045,0.025,-0.036,-0.036,-0.045
0.014,-0.03,-0.026,0.004,0.028,-0.017,-0.011,-0.009,-0.046,0.025,-0.036,-0.031,-0.042
0.016,-0.029,-0.02,0.008,0.024,-0.018,-0.006,-0.001,-0.042,0.024,-0.032,-0.03,-0.037
0.018,-0.023,-0.007,0.016,0.014,-0.02,0.004,0.007,-0.033,0.035,-0.023,-0.029,-0.035
0.02,-0.015,0.005,0.02,0.005,-0.018,0.012,0.015,-0.025,0.06,-0.02,-0.025,-0.035
0.022,-0.012,0.017,0.028,-0.002,-0.02,0.022,0.023,-0.017,0.065,-0.017,-0.02,-0.031
0.024,-0.002,0.03,0.033,-0.014,-0.018,0.032,0.029,-0.009,0.068,-0.009,-0.02,-0.03
0.026,-0.003,0.036,0.039,-0.017,-0.021,0.037,0.029,-0.001,0.071,-0.002,-0.018,-0.028
0.028,-0.002,0.044,0.046,-0.021,-0.024,0.044,0.024,0.007,0.07,0.001,-0.015,-0.025
0.03,0.01,0.06,0.05,-0.035,-0.02,0.055,0.025,0.015,0.07,0.005,-0.015,-0.025
0.032,-0.01,0.057,0.067,-0.023,-0.039,0.061,0.04,0.023,0.078,0.009,-0.015,-0.025
0.034,-0.015,0.054,0.069,-0.02,-0.042,0.061,0.06,0.031,0.087,0.013,-0.015,-0.025
0.036,-0.007,0.056,0.062,-0.025,-0.035,0.059,0.065,0.039,0.092,0.017,-0.015,-0.025
0.038,-0.005,0.054,0.059,-0.025,-0.032,0.056,0.059,0.047,0.097,0.021,-0.015,-0.025
0.04,-0.005,0.05,0.055,-0.023,-0.03,0.052,0.06,0.055,0.105,0.025,-0.015,-0.025
0.042,-0.005,0.05,0.055,-0.023,-0.03,0.052,0.056,0.063,0.11,0.029,-0.011,-0.025
0.044,-0.002,0.051,0.053,-0.024,-0.027,0.051,0.055,0.073,0.11,0.034,-0.01,-0.025
0.046,0.001,0.048,0.047,-0.024,-0.024,0.048,0.053,0.073,0.11,0.033,-0.01,-0.025
0.048,0.0,0.045,0.045,-0.023,-0.023,0.045,0.05,0.063,0.11,0.03,-0.01,-0.025
0.05,0.0,0.045,0.045,-0.023,-0.023,0.045,0.05,0.055,0.11,0.03,-0.01,-0.025
0.052,0.004,0.045,0.041,-0.025,-0.019,0.043,0.039,0.047,0.11,0.026,-0.01,-0.025
0.054,0.006,0.042,0.036,-0.024,-0.016,0.039,0.026,0.039,0.111,0.024,-0.011,-0.022
0.056,0.004,0.039,0.035,-0.023,-0.015,0.037,0.014,0.031,0.105,0.026,-0.008,-0.019
0.058,0.006,0.04,0.034,-0.023,-0.014,0.037,0.003,0.023,0.092,0.024,-0.005,-0.02
0.06,0.01,0.04,0.03,-0.025,-0.01,0.035,-0.005,0.015,0.085,0.02,-0.005,-0.02
0.062,0.01,0.036,0.026,-0.023,-0.008,0.031,-0.021,0.003,0.077,0.02,-0.005,-0.02
0.064,0.012,0.034,0.022,-0.024,-0.005,0.028,-0.037,-0.007,0.069,0.017,-0.005,-0.02
0.066,0.018,0.036,0.018,-0.027,0.0,0.026,-0.052,-0.013,0.061,0.014,-0.005,-0.02
0.068,0.019,0.034,0.015,-0.027,0.002,0.024,-0.07,-0.023,0.053,0.015,-0.005,-0.02
0.07,0.015,0.03,0.015,-0.023,0.0,0.022,-0.085,-0.035,0.045,0.015,-0.005,-0.02
0.072,0.018,0.03,0.011,-0.024,0.004,0.02,-0.082,-0.044,0.037,0.011,-0.009,-0.02
0.074,0.024,0.031,0.007,-0.028,0.009,0.019,-0.079,-0.049,0.032,0.01,-0.01,-0.02
0.076,0.025,0.028,0.003,-0.027,0.011,0.015,-0.081,-0.064,0.029,0.01,-0.01,-0.02
0.078,0.026,0.025,-0.001,-0.025,0.013,0.011,-0.079,-0.076,0.023,0.01,-0.01,-0.02
0.08,0.03,0.025,-0.005,-0.027,0.017,0.01,-0.075,-0.07,0.015,0.01,-0.01,-0.02
0.082,0.029,0.025,-0.004,-0.027,0.016,0.01,-0.075,-0.07,0.011,0.006,-0.014,-0.024
0.084,0.036,0.025,-0.011,-0.03,0.023,0.007,-0.076,-0.07,0.007,0.005,-0.015,-0.025
0.086,0.041,0.023,-0.018,-0.032,0.029,0.003,-0.073,-0.07,0.003,0.005,-0.015,-0.025
0.088,0.04,0.019,-0.021,-0.029,0.03,-0.001,-0.07,-0.07,0.0,0.005,-0.015,-0.025
0.09,0.04,0.015,-0.025,-0.027,0.032,-0.005,-0.07,-0.07,0.0,0.005,-0.015,-0.025
0.092,0.04,0.011,-0.029,-0.025,0.034,-0.009,-0.07,-0.07,0.0,0.005,-0.015,-0.025
0.094,0.04,0.007,-0.033,-0.023,0.036,-0.013,-0.071,-0.071,0.0,0.002,-0.018,-0.028
0.096,0.04,0.003,-0.037,-0.021,0.038,-0.017,-0.066,-0.068,0.0,-0.001,-0.021,-0.031
0.098,0.04,-0.001,-0.041,-0.02,0.041,-0.021,-0.059,-0.065,0.0,0.0,-0.02,-0.03
0.1,0.04,-0.005,-0.045,-0.017,0.043,-0.025,-0.055,-0.065,0.0,0.0,-0.02,-0.03
0.102,0.032,-0.013,-0.045,-0.009,0.039,-0.029,-0.047,-0.065,0.0,0.0,-0.02,-0.03
0.104,0.027,-0.018,-0.045,-0.004,0.036,-0.031,-0.042,-0.065,-0.003,0.0,-0.023,-0.029
0.106,0.023,-0.022,-0.045,0.0,0.034,-0.033,-0.036,-0.065,-0.006,-0.002,-0.026,-0.032
0.108,0.02,-0.026,-0.046,0.004,0.033,-0.036,-0.029,-0.065,-0.005,-0.006,-0.025,-0.035
0.11,0.02,-0.03,-0.05,0.005,0.035,-0.04,-0.025,-0.065,-0.005,-0.01,-0.025,-0.035
0.112,0.016,-0.034,-0.05,0.009,0.034,-0.042,-0.021,-0.065,-0.005,-0.014,-0.025,-0.039
0.114,0.012,-0.038,-0.05,0.013,0.031,-0.044,-0.02,-0.062,-0.005,-0.018,-0.024,-0.04
0.116,0.009,-0.041,-0.05,0.016,0.03,-0.045,-0.02,-0.059,-0.005,-0.022,-0.029,-0.042
0.118,0.002,-0.048,-0.05,0.023,0.026,-0.048,-0.02,-0.06,-0.005,-0.026,-0.036,-0.046
0.12,-0.01,-0.06,-0.05,0.035,0.02,-0.055,-0.02,-0.06,-0.005,-0.03,-0.04,-0.05
0.122,-0.01,-0.064,-0.054,0.037,0.023,-0.059,-0.02,-0.06,-0.009,-0.038,-0.056,-0.062
0.124,-0.017,-0.072,-0.055,0.045,0.02,-0.063,-0.02,-0.06,-0.013,-0.043,-0.065,-0.072
0.126,-0.035,-0.09,-0.055,0.063,0.01,-0.072,-0.02,-0.06,-0.017,-0.047,-0.065,-0.078
0.128,-0.046,-0.101,-0.055,0.074,0.005,-0.077,-0.02,-0.06,-0.021,-0.05,-0.065,-0.08
0.13,-0.04,-0.095,-0.055,0.068,0.008,-0.075,-0.02,-0.06,-0.025,-0.05,-0.065,-0.08
0.132,-0.04,-0.095,-0.055,0.068,0.008,-0.075,-0.02,-0.06,-0.025,-0.054,-0.064,-0.08
0.134,-0.04,-0.095,-0.055,0.068,0.008,-0.075,-0.02,-0.063,-0.028,-0.055,-0.071,-0.08
0.136,-0.04,-0.095,-0.055,0.068,0.008,-0.075,-0.02,-0.066,-0.032,-0.057,-0.078,-0.08
0.138,-0.039,-0.094,-0.055,0.067,0.008,-0.075,-0.019,-0.065,-0.036,-0.06,-0.08,-0.08
0.14,-0.035,-0.09,-0.055,0.063,0.01,-0.072,-0.015,-0.065,-0.04,-0.06,-0.08,-0.08
0.142,-0.035,-0.09,-0.055,0.063,0.01,-0.072,-0.015,-0.065,-0.044,-0.06,-0.08,-0.08
0.144,-0.035,-0.09,-0.055,0.063,0.01,-0.072,-0.015,-0.065,-0.045,-0.06,-0.08,-0.08
0.146,-0.035,-0.09,-0.055,0.063,0.01,-0.072,-0.015,-0.065,-0.047,-0.06,-0.08,-0.08
0.148,-0.034,-0.089,-0.055,0.062,0.01,-0.072,-0.015,-0.065,-0.05,-0.06,-0.08,-0.08
0.15,-0.03,-0.085,-0.055,0.058,0.013,-0.07,-0.015,-0.065,-0.05,-0.06,-0.08,-0.08
0.152,-0.03,-0.085,-0.055,0.058,0.013,-0.07,-0.015,-0.065,-0.05,-0.06,-0.08,-0.08
0.154,-0.03,-0.085,-0.055,0.058,0.013,-0.07,-0.015,-0.065,-0.05,-0.06,-0.08,-0.08
0.156,-0.03,-0.085,-0.055,0.058,0.013,-0.07,-0.015,-0.065,-0.05,-0.06,-0.08,-0.08
0.158,-0.03,-0.085,-0.055,0.058,0.013,-0.07,-0.015,-0.065,-0.05,-0.06,-0.08,-0.08
0.16,-0.03,-0.085,-0.055,0.058,0.013,-0.07,-0.015,-0.065,-0.05,-0.06,-0.08,-0.08
0.162,-0.026,-0.081,-0.055,0.054,0.015,-0.067,-0.015,-0.065,-0.05,-0.06,-0.08,-0.08
0.164,-0.024,-0.08,-0.056,0.052,0.016,-0.067,-0.016,-0.065,-0.05,-0.06,-0.08,-0.08
0.166,-0.027,-0.08,-0.053,0.054,0.013,-0.066,-0.013,-0.065,-0.05,-0.06,-0.08,-0.08
0.168,-0.021,-0.08,-0.059,0.051,0.019,-0.069,-0.01,-0.065,-0.05,-0.06,-0.08,-0.08
0.17,0.0,-0.08,-0.08,0.04,0.04,-0.08,-0.01,-0.065,-0.05,-0.06,-0.08,-0.08
0.172,0.001,-0.076,-0.077,0.038,0.039,-0.076,-0.006,-0.065,-0.05,-0.06,-0.08,-0.08
0.174,0.0,-0.075,-0.075,0.038,0.038,-0.075,-0.004,-0.065,-0.05,-0.06,-0.08,-0.08
0.176,-0.002,-0.075,-0.073,0.039,0.036,-0.074,-0.006,-0.065,-0.05,-0.06,-0.08,-0.08
0.178,-0.005,-0.075,-0.07,0.04,0.033,-0.072,-0.004,-0.065,-0.05,-0.06,-0.08,-0.08
0.18,-0.005,-0.075,-0.07,0.04,0.033,-0.072,0.0,-0.065,-0.05,-0.06,-0.08,-0.08
0.182,-0.009,-0.075,-0.066,0.042,0.029,-0.07,0.0,-0.065,-0.054,-0.06,-0.08,-0.08
0.184,-0.013,-0.078,-0.065,0.046,0.026,-0.071,-0.001,-0.065,-0.055,-0.06,-0.08,-0.08
0.186,-0.017,-0.081,-0.063,0.049,0.023,-0.071,0.002,-0.065,-0.055,-0.06,-0.08,-0.08
0.188,-0.02,-0.08,-0.06,0.05,0.02,-0.07,0.005,-0.064,-0.055,-0.06,-0.08,-0.08
0.19,-0.02,-0.08,-0.06,0.05,0.02,-0.07,0.005,-0.06,-0.055,-0.06,-0.08,-0.08
0.192,-0.024,-0.08,-0.056,0.052,0.016,-0.068,0.005,-0.061,-0.055,-0.064,-0.08,-0.08
0.194,-0.028,-0.081,-0.053,0.055,0.013,-0.066,0.008,-0.056,-0.057,-0.065,-0.077,-0.08
0.196,-0.017,-0.077,-0.06,0.047,0.022,-0.068,0.011,-0.059,-0.049,-0.067,-0.074,-0.079
0.198,-0.014,-0.086,-0.072,0.05,0.03,-0.079,0.009,-0.046,-0.039,-0.07,-0.076,-0.082
0.2,-0.035,-0.115,-0.08,0.075,0.023,-0.097,0.01,0.01,-0.03,-0.07,-0.085,-0.095
0.202,-0.02,-0.114,-0.094,0.067,0.037,-0.104,0.038,0.061,0.017,-0.073,-0.105,-0.11
0.204,-0.006,-0.131,-0.125,0.069,0.06,-0.128,0.061,0.13,0.063,-0.079,-0.12,-0.135
0.206,-0.006,-0.17,-0.164,0.089,0.079,-0.167,0.097,0.225,0.129,-0.063,-0.132,-0.164
0.208,-0.011,-0.191,-0.18,0.101,0.085,-0.186,0.146,0.332,0.232,-0.033,-0.158,-0.192
0.21,-0.02,-0.185,-0.165,0.103,0.073,-0.175,0.19,0.445,0.345,-0.005,-0.185,-0.215
0.212,-0.037,-0.189,-0.153,0.113,0.059,-0.171,0.248,0.582,0.472,0.043,-0.174,-0.215
0.214,-0.007,-0.147,-0.14,0.077,0.067,-0.144,0.312,0.77,0.641,0.123,-0.164,-0.218
0.216,0.045,-0.087,-0.132,0.022,0.089,-0.11,0.313,0.91,0.774,0.2,-0.132,-0.202
0.218,0.093,-0.027,-0.12,-0.032,0.107,-0.074,0.274,0.921,0.794,0.269,-0.043,-0.14
0.22,0.16,0.065,-0.095,-0.112,0.127,-0.015,0.235,0.79,0.715,0.365,0.105,-0.03
0.222,0.256,0.181,-0.076,-0.218,0.166,0.052,0.084,0.504,0.584,0.5,0.314,0.124
0.224,0.342,0.295,-0.047,-0.318,0.195,0.124,-0.077,0.202,0.424,0.638,0.537,0.285
0.226,0.42,0.406,-0.014,-0.413,0.217,0.196,-0.224,-0.047,0.322,0.774,0.765,0.445
0.228,0.508,0.526,0.019,-0.517,0.244,0.272,-0.351,-0.218,0.269,0.925,0.989,0.605
0.23,0.59,0.645,0.055,-0.618,0.267,0.35,-0.425,-0.285,0.215,1.09,1.195,0.76
0.232,0.646,0.734,0.089,-0.69,0.278,0.412,-0.476,-0.283,0.238,1.259,1.415,0.916
0.234,0.707,0.859,0.152,-0.783,0.277,0.506,-0.545,-0.363,0.235,1.45,1.66,1.104
0.236,0.703,1.01,0.307,-0.857,0.198,0.658,-0.639,-0.593,0.09,1.58,1.839,1.285
0.238,0.606,1.129,0.523,-0.867,0.041,0.825,-0.704,-0.893,-0.193,1.594,1.911,1.418
0.24,0.465,1.165,0.7,-0.815,-0.118,0.932,-0.705,-1.145,-0.51,1.535,1.93,1.505
0.242,0.318,1.103,0.785,-0.711,-0.234,0.944,-0.711,-1.329,-0.767,1.483,1.938,1.561
0.244,0.31,1.041,0.731,-0.676,-0.211,0.886,-0.731,-1.45,-0.917,1.462,1.981,1.586
0.246,0.345,0.95,0.605,-0.647,-0.131,0.777,-0.743,-1.535,-1.009,1.406,1.998,1.589
0.248,0.346,0.808,0.462,-0.577,-0.058,0.634,-0.756,-1.589,-1.099,1.25,1.903,1.538
0.25,0.34,0.645,0.305,-0.493,0.017,0.475,-0.775,-1.615,-1.22,0.93,1.645,1.385
0.252,0.268,0.435,0.167,-0.352,0.05,0.3,-0.748,-1.646,-1.395,0.348,1.186,1.142
0.254,0.18,0.19,0.009,-0.185,0.085,0.099,-0.722,-1.607,-1.554,-0.376,0.634,0.842
0.256,0.134,0.013,-0.121,-0.073,0.127,-0.054,-0.692,-1.553,-1.612,-0.847,0.238,0.598
0.258,0.095,-0.073,-0.168,-0.011,0.132,-0.121,-0.659,-1.483,-1.542,-0.934,0.062,0.447
